imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,SIFT,1438,0.0894959,1,138,0,138,0.046207,4.98471,35.1614,SURF,0.00124887,0.0907448,,,,0,0,0.0907448,
0001.png,SIFT,1371,0.0847187,1,132,0,132,0.0460756,5.0898,38.1058,SURF,0.00111627,0.0858349,MAT_BF,DES_HOG,SEL_KNN,55,0.000167246,0.0860022,
0002.png,SIFT,1380,0.08719,1,124,0,124,0.0445329,4.93926,36.2424,SURF,0.00114691,0.0883369,MAT_BF,DES_HOG,SEL_KNN,59,0.000122539,0.0884595,
0003.png,SIFT,1335,0.0861677,1,137,0,137,0.0463294,4.73122,27.4604,SURF,0.0012127,0.0873804,MAT_BF,DES_HOG,SEL_KNN,56,0.000155502,0.0875359,
0004.png,SIFT,1305,0.0859457,1,134,0,134,0.0468642,4.71959,30.3653,SURF,0.00106358,0.0870093,MAT_BF,DES_HOG,SEL_KNN,64,0.000128768,0.0871381,
0005.png,SIFT,1370,0.0883711,1,140,0,140,0.0461937,4.68397,31.0976,SURF,0.00122992,0.089601,MAT_BF,DES_HOG,SEL_KNN,51,0.000152599,0.0897536,
0006.png,SIFT,1396,0.085742,1,137,0,137,0.0479554,5.40797,42.4277,SURF,0.00135165,0.0870936,MAT_BF,DES_HOG,SEL_KNN,52,0.000179019,0.0872726,
0007.png,SIFT,1382,0.0845946,1,148,0,148,0.048658,4.62187,26.4553,SURF,0.00122978,0.0858244,MAT_BF,DES_HOG,SEL_KNN,47,0.000171782,0.0859962,
0008.png,SIFT,1463,0.0850893,1,159,0,159,0.0465245,5.51997,44.4892,SURF,0.00131499,0.0864042,MAT_BF,DES_HOG,SEL_KNN,48,0.000192188,0.0865964,
0009.png,SIFT,1422,0.0862864,1,137,0,137,0.0496661,5.62509,44.638,SURF,0.00125203,0.0875384,MAT_BF,DES_HOG,SEL_KNN,67,0.0001753,0.0877137,
cumulated sum,,13862,,,1386,,1386,,,,,,,,,,499,,,
average values,,,0.0863601,,,,,0.0469007,5.03235,35.6443,,0.00121667,0.0875768,,,,,0.000144494,0.0877213,
