imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,SURF,2931,0.036965,1,205,0,205,4434.28,27.1463,319.169,AKAZE,0,0.036965,,,,0,0,0.036965,
0001.png,SURF,2853,0.0327163,1,198,0,198,4377.35,26.4293,258.861,AKAZE,0,0.0327163,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.0327163,
0002.png,SURF,2925,0.0332889,1,208,0,208,4014.25,26.6875,292.349,AKAZE,0,0.0332889,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.0332889,
0003.png,SURF,2865,0.0355816,1,210,0,210,4167.71,27.7762,378.726,AKAZE,0,0.0355816,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.0355816,
0004.png,SURF,2976,0.0362262,1,201,0,201,4288.04,28.8856,416.639,AKAZE,0,0.0362262,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.0362262,
0005.png,SURF,2942,0.0383177,1,220,0,220,4182.38,29.2818,422.157,AKAZE,0,0.0383177,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.0383177,
0006.png,SURF,3020,0.0365322,1,241,0,241,4395.3,28.3776,394.135,AKAZE,0,0.0365322,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.0365322,
0007.png,SURF,3035,0.0355301,1,227,0,227,4730.18,29.4934,459.316,AKAZE,0,0.0355301,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.0355301,
0008.png,SURF,3121,0.0362628,1,218,0,218,4671.54,30.1239,483.521,AKAZE,0,0.0362628,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.0362628,
0009.png,SURF,3199,0.0356838,1,222,0,222,4408.9,28.4099,403.089,AKAZE,0,0.0356838,MAT_BF,DES_BINARY,SEL_KNN,-1,0,0.0356838,
cumulated sum,,29867,,,2150,,2150,,,,,,,,,,-9,,,
average values,,,0.0357105,,,,,4366.99,28.2611,382.796,,0,0.0357105,,,,,0,0.0357105,
