imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,SURF,2931,0.0364063,1,205,0,205,4434.28,27.1463,319.169,BRIEF,0.000639019,0.0370453,,,,0,0,0.0370453,
0001.png,SURF,2853,0.0359265,1,198,0,198,4377.35,26.4293,258.861,BRIEF,0.000682436,0.0366089,MAT_BF,DES_BINARY,SEL_KNN,155,0.000375368,0.0369843,
0002.png,SURF,2925,0.0362261,1,208,0,208,4014.25,26.6875,292.349,BRIEF,0.000649983,0.0368761,MAT_BF,DES_BINARY,SEL_KNN,162,0.000333131,0.0372092,
0003.png,SURF,2865,0.0330519,1,210,0,210,4167.71,27.7762,378.726,BRIEF,0.000716572,0.0337685,MAT_BF,DES_BINARY,SEL_KNN,162,0.000311964,0.0340805,
0004.png,SURF,2976,0.036426,1,201,0,201,4288.04,28.8856,416.639,BRIEF,0.000661764,0.0370877,MAT_BF,DES_BINARY,SEL_KNN,166,0.000371546,0.0374593,
0005.png,SURF,2942,0.0342974,1,220,0,220,4182.38,29.2818,422.157,BRIEF,0.000723085,0.0350205,MAT_BF,DES_BINARY,SEL_KNN,155,0.000276563,0.0352971,
0006.png,SURF,3020,0.0359115,1,241,0,241,4395.3,28.3776,394.135,BRIEF,0.000787517,0.036699,MAT_BF,DES_BINARY,SEL_KNN,173,0.000371726,0.0370707,
0007.png,SURF,3035,0.0367562,1,227,0,227,4730.18,29.4934,459.316,BRIEF,0.000707328,0.0374635,MAT_BF,DES_BINARY,SEL_KNN,183,0.000401814,0.0378653,
0008.png,SURF,3121,0.0350857,1,218,0,218,4671.54,30.1239,483.521,BRIEF,0.000732626,0.0358184,MAT_BF,DES_BINARY,SEL_KNN,177,0.000406441,0.0362248,
0009.png,SURF,3199,0.0341539,1,222,0,222,4408.9,28.4099,403.089,BRIEF,0.000727021,0.034881,MAT_BF,DES_BINARY,SEL_KNN,177,0.000302908,0.0351839,
cumulated sum,,29867,,,2150,,2150,,,,,,,,,,1510,,,
average values,,,0.0354241,,,,,4366.99,28.2611,382.796,,0.000702735,0.0361269,,,,,0.000315146,0.036442,
