imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,SURF,2931,0.0351173,1,205,0,205,4434.28,27.1463,319.169,BRISK,0.00184951,0.0369668,,,,0,0,0.0369668,
0001.png,SURF,2853,0.034534,1,198,0,198,4377.35,26.4293,258.861,BRISK,0.00177375,0.0363077,MAT_BF,DES_BINARY,SEL_KNN,147,0.000393734,0.0367014,
0002.png,SURF,2925,0.0326082,1,208,0,208,4014.25,26.6875,292.349,BRISK,0.00182767,0.0344359,MAT_BF,DES_BINARY,SEL_KNN,155,0.000368959,0.0348048,
0003.png,SURF,2865,0.0369506,1,210,0,210,4167.71,27.7762,378.726,BRISK,0.00184222,0.0387928,MAT_BF,DES_BINARY,SEL_KNN,150,0.000421335,0.0392141,
0004.png,SURF,2976,0.0341694,1,201,0,201,4288.04,28.8856,416.639,BRISK,0.00178441,0.0359538,MAT_BF,DES_BINARY,SEL_KNN,146,0.00036396,0.0363177,
0005.png,SURF,2942,0.035019,1,220,0,220,4182.38,29.2818,422.157,BRISK,0.00192575,0.0369447,MAT_BF,DES_BINARY,SEL_KNN,137,0.000360597,0.0373053,
0006.png,SURF,3020,0.0366429,1,241,0,241,4395.3,28.3776,394.135,BRISK,0.00208854,0.0387314,MAT_BF,DES_BINARY,SEL_KNN,166,0.00048118,0.0392126,
0007.png,SURF,3035,0.0357828,1,227,0,227,4730.18,29.4934,459.316,BRISK,0.00198445,0.0377673,MAT_BF,DES_BINARY,SEL_KNN,169,0.00042101,0.0381883,
0008.png,SURF,3121,0.0365908,1,218,0,218,4671.54,30.1239,483.521,BRISK,0.00191568,0.0385065,MAT_BF,DES_BINARY,SEL_KNN,163,0.000400556,0.0389071,
0009.png,SURF,3199,0.036169,1,222,0,222,4408.9,28.4099,403.089,BRISK,0.00200124,0.0381702,MAT_BF,DES_BINARY,SEL_KNN,162,0.000415291,0.0385855,
cumulated sum,,29867,,,2150,,2150,,,,,,,,,,1395,,,
average values,,,0.0353584,,,,,4366.99,28.2611,382.796,,0.00189932,0.0372577,,,,,0.000362662,0.0376204,
