imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,SURF,2931,0.0359599,1,205,0,205,4434.28,27.1463,319.169,FREAK,0.0300042,0.0659641,,,,0,0,0.0659641,
0001.png,SURF,2853,0.0346179,1,198,0,198,4377.35,26.4293,258.861,FREAK,0.0302348,0.0648527,MAT_BF,DES_BINARY,SEL_KNN,133,0.00032598,0.0651787,
0002.png,SURF,2925,0.0338227,1,208,0,208,4014.25,26.6875,292.349,FREAK,0.0295413,0.063364,MAT_BF,DES_BINARY,SEL_KNN,132,0.000278981,0.063643,
0003.png,SURF,2865,0.0347849,1,210,0,210,4167.71,27.7762,378.726,FREAK,0.03031,0.0650949,MAT_BF,DES_BINARY,SEL_KNN,131,0.000345788,0.0654407,
0004.png,SURF,2976,0.0357082,1,201,0,201,4288.04,28.8856,416.639,FREAK,0.0297493,0.0654575,MAT_BF,DES_BINARY,SEL_KNN,125,0.000294377,0.0657519,
0005.png,SURF,2942,0.0329095,1,220,0,220,4182.38,29.2818,422.157,FREAK,0.0304904,0.0634,MAT_BF,DES_BINARY,SEL_KNN,122,0.000314702,0.0637147,
0006.png,SURF,3020,0.033397,1,241,0,241,4395.3,28.3776,394.135,FREAK,0.030262,0.063659,MAT_BF,DES_BINARY,SEL_KNN,144,0.000415135,0.0640742,
0007.png,SURF,3035,0.0353212,1,227,0,227,4730.18,29.4934,459.316,FREAK,0.0284755,0.0637966,MAT_BF,DES_BINARY,SEL_KNN,148,0.000443975,0.0642406,
0008.png,SURF,3121,0.0354636,1,218,0,218,4671.54,30.1239,483.521,FREAK,0.0304467,0.0659103,MAT_BF,DES_BINARY,SEL_KNN,141,0.000360722,0.066271,
0009.png,SURF,3199,0.0359379,1,222,0,222,4408.9,28.4099,403.089,FREAK,0.0276365,0.0635744,MAT_BF,DES_BINARY,SEL_KNN,144,0.000330822,0.0639052,
cumulated sum,,29867,,,2150,,2150,,,,,,,,,,1220,,,
average values,,,0.0347923,,,,,4366.99,28.2611,382.796,,0.0297151,0.0645074,,,,,0.000311048,0.0648184,
