imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,SURF,2931,0.0364507,1,205,0,205,4434.28,27.1463,319.169,KAZE,0,0.0364507,,,,0,0,0.0364507,
0001.png,SURF,2853,0.0330232,1,198,0,198,4377.35,26.4293,258.861,KAZE,0,0.0330232,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.0330232,
0002.png,SURF,2925,0.0357239,1,208,0,208,4014.25,26.6875,292.349,KAZE,0,0.0357239,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.0357239,
0003.png,SURF,2865,0.0358859,1,210,0,210,4167.71,27.7762,378.726,KAZE,0,0.0358859,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.0358859,
0004.png,SURF,2976,0.0330308,1,201,0,201,4288.04,28.8856,416.639,KAZE,0,0.0330308,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.0330308,
0005.png,SURF,2942,0.0416482,1,220,0,220,4182.38,29.2818,422.157,KAZE,0,0.0416482,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.0416482,
0006.png,SURF,3020,0.0343044,1,241,0,241,4395.3,28.3776,394.135,KAZE,0,0.0343044,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.0343044,
0007.png,SURF,3035,0.0345803,1,227,0,227,4730.18,29.4934,459.316,KAZE,0,0.0345803,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.0345803,
0008.png,SURF,3121,0.0359428,1,218,0,218,4671.54,30.1239,483.521,KAZE,0,0.0359428,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.0359428,
0009.png,SURF,3199,0.0347156,1,222,0,222,4408.9,28.4099,403.089,KAZE,0,0.0347156,MAT_BF,DES_HOG,SEL_KNN,-1,0,0.0347156,
cumulated sum,,29867,,,2150,,2150,,,,,,,,,,-9,,,
average values,,,0.0355306,,,,,4366.99,28.2611,382.796,,0,0.0355306,,,,,0,0.0355306,
