imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,SURF,2931,0.0352126,1,205,0,205,4434.28,27.1463,319.169,ORB,0.00307831,0.0382909,,,,0,0,0.0382909,
0001.png,SURF,2853,0.0330658,1,198,0,198,4377.35,26.4293,258.861,ORB,0.00228634,0.0353521,MAT_BF,DES_BINARY,SEL_KNN,145,0.000288435,0.0356406,
0002.png,SURF,2925,0.0343122,1,208,0,208,4014.25,26.6875,292.349,ORB,0.00224329,0.0365555,MAT_BF,DES_BINARY,SEL_KNN,148,0.000363159,0.0369186,
0003.png,SURF,2865,0.036286,1,210,0,210,4167.71,27.7762,378.726,ORB,0.00278878,0.0390748,MAT_BF,DES_BINARY,SEL_KNN,151,0.000355022,0.0394298,
0004.png,SURF,2976,0.0368955,1,201,0,201,4288.04,28.8856,416.639,ORB,0.00277834,0.0396738,MAT_BF,DES_BINARY,SEL_KNN,148,0.000284596,0.0399584,
0005.png,SURF,2942,0.0366211,1,220,0,220,4182.38,29.2818,422.157,ORB,0.00284377,0.0394649,MAT_BF,DES_BINARY,SEL_KNN,134,0.000350579,0.0398155,
0006.png,SURF,3020,0.0343499,1,241,0,241,4395.3,28.3776,394.135,ORB,0.00286917,0.037219,MAT_BF,DES_BINARY,SEL_KNN,158,0.000398724,0.0376178,
0007.png,SURF,3035,0.0353142,1,227,0,227,4730.18,29.4934,459.316,ORB,0.00294063,0.0382548,MAT_BF,DES_BINARY,SEL_KNN,181,0.000420603,0.0386754,
0008.png,SURF,3121,0.035313,1,218,0,218,4671.54,30.1239,483.521,ORB,0.0027498,0.0380628,MAT_BF,DES_BINARY,SEL_KNN,163,0.000365427,0.0384282,
0009.png,SURF,3199,0.0351155,1,222,0,222,4408.9,28.4099,403.089,ORB,0.00290573,0.0380212,MAT_BF,DES_BINARY,SEL_KNN,159,0.000352605,0.0383738,
cumulated sum,,29867,,,2150,,2150,,,,,,,,,,1387,,,
average values,,,0.0352486,,,,,4366.99,28.2611,382.796,,0.00274842,0.037997,,,,,0.000317915,0.0383149,
