imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,SURF,2931,0.0354615,1,205,0,205,4434.28,27.1463,319.169,SIFT,0.0457423,0.0812038,,,,0,0,0.0812038,
0001.png,SURF,2853,0.0337697,1,198,0,198,4377.35,26.4293,258.861,SIFT,0.0409691,0.0747389,MAT_BF,DES_HOG,SEL_KNN,156,0.000428397,0.0751673,
0002.png,SURF,2925,0.0349728,1,208,0,208,4014.25,26.6875,292.349,SIFT,0.0463089,0.0812817,MAT_BF,DES_HOG,SEL_KNN,151,0.000384459,0.0816661,
0003.png,SURF,2865,0.0325044,1,210,0,210,4167.71,27.7762,378.726,SIFT,0.0411767,0.073681,MAT_BF,DES_HOG,SEL_KNN,169,0.000394317,0.0740753,
0004.png,SURF,2976,0.0318562,1,201,0,201,4288.04,28.8856,416.639,SIFT,0.0398258,0.0716821,MAT_BF,DES_HOG,SEL_KNN,155,0.000418339,0.0721004,
0005.png,SURF,2942,0.0341471,1,220,0,220,4182.38,29.2818,422.157,SIFT,0.0435387,0.0776858,MAT_BF,DES_HOG,SEL_KNN,152,0.000388511,0.0780743,
0006.png,SURF,3020,0.0338095,1,241,0,241,4395.3,28.3776,394.135,SIFT,0.0471392,0.0809487,MAT_BF,DES_HOG,SEL_KNN,174,0.000481425,0.0814302,
0007.png,SURF,3035,0.0338257,1,227,0,227,4730.18,29.4934,459.316,SIFT,0.0443848,0.0782106,MAT_BF,DES_HOG,SEL_KNN,189,0.00047478,0.0786854,
0008.png,SURF,3121,0.0328412,1,218,0,218,4671.54,30.1239,483.521,SIFT,0.043113,0.0759542,MAT_BF,DES_HOG,SEL_KNN,181,0.000456556,0.0764108,
0009.png,SURF,3199,0.0325083,1,222,0,222,4408.9,28.4099,403.089,SIFT,0.0436418,0.0761501,MAT_BF,DES_HOG,SEL_KNN,177,0.000427885,0.076578,
cumulated sum,,29867,,,2150,,2150,,,,,,,,,,1504,,,
average values,,,0.0335696,,,,,4366.99,28.2611,382.796,,0.043584,0.0771537,,,,,0.000385467,0.0775391,
