imgFilename,detectorType,numKeypoints,t_detKeypoints [s],bFocusOnVehicle,numKeypointsInROI,bLimitKpts,numKeypointsInROILimited,meanDetectorResponse,meanKeypointDiam,varianceKeypointDiam_av,descExtractorType,t_descKeypoints [s],t_detKeypoints + t_descKeypoints [s],matcherType,descriptorType,selectorType,numDescMatches,t_matchDescriptors [s],t_detKeypoints + t_descKeypoints + t_matchDescriptors [s]
0000.png,SURF,2931,0.0328292,1,205,0,205,4434.28,27.1463,319.169,SURF,0.00551784,0.0383471,,,,0,0,0.0383471,
0001.png,SURF,2853,0.0366144,1,198,0,198,4377.35,26.4293,258.861,SURF,0.00476534,0.0413797,MAT_BF,DES_HOG,SEL_KNN,151,0.000348178,0.0417279,
0002.png,SURF,2925,0.0373615,1,208,0,208,4014.25,26.6875,292.349,SURF,0.00652599,0.0438874,MAT_BF,DES_HOG,SEL_KNN,149,0.000294313,0.0441818,
0003.png,SURF,2865,0.0353681,1,210,0,210,4167.71,27.7762,378.726,SURF,0.00603946,0.0414076,MAT_BF,DES_HOG,SEL_KNN,153,0.000248238,0.0416558,
0004.png,SURF,2976,0.0364116,1,201,0,201,4288.04,28.8856,416.639,SURF,0.00703941,0.043451,MAT_BF,DES_HOG,SEL_KNN,155,0.000266851,0.0437179,
0005.png,SURF,2942,0.0364907,1,220,0,220,4182.38,29.2818,422.157,SURF,0.00662649,0.0431172,MAT_BF,DES_HOG,SEL_KNN,138,0.000313871,0.043431,
0006.png,SURF,3020,0.0356333,1,241,0,241,4395.3,28.3776,394.135,SURF,0.00724984,0.0428831,MAT_BF,DES_HOG,SEL_KNN,157,0.000362853,0.043246,
0007.png,SURF,3035,0.0338343,1,227,0,227,4730.18,29.4934,459.316,SURF,0.00783762,0.0416719,MAT_BF,DES_HOG,SEL_KNN,181,0.000382691,0.0420546,
0008.png,SURF,3121,0.0350608,1,218,0,218,4671.54,30.1239,483.521,SURF,0.00729297,0.0423537,MAT_BF,DES_HOG,SEL_KNN,163,0.000323238,0.042677,
0009.png,SURF,3199,0.034976,1,222,0,222,4408.9,28.4099,403.089,SURF,0.00717326,0.0421492,MAT_BF,DES_HOG,SEL_KNN,163,0.000315135,0.0424644,
cumulated sum,,29867,,,2150,,2150,,,,,,,,,,1410,,,
average values,,,0.035458,,,,,4366.99,28.2611,382.796,,0.00660682,0.0420648,,,,,0.000285537,0.0423503,
